! CH1_S11_1 S21 MLOG,
angle[rad],0.75GHz
0,-5.61E+01
3,-5.61E+01
6,-5.60E+01
9,-5.60E+01
12,-5.60E+01
15,-5.60E+01
18,-5.60E+01
21,-5.60E+01
24,-5.60E+01
27,-5.59E+01
30,-5.60E+01
33,-5.60E+01
36,-5.60E+01
39,-5.60E+01
42,-5.60E+01
45,-5.60E+01
48,-5.61E+01
51,-5.62E+01
54,-5.62E+01
57,-5.62E+01
60,-5.63E+01
63,-5.62E+01
66,-5.62E+01
69,-5.63E+01
72,-5.64E+01
75,-5.65E+01
78,-5.65E+01
81,-5.66E+01
84,-5.66E+01
87,-5.67E+01
90,-5.68E+01
93,-5.68E+01
96,-5.69E+01
99,-5.69E+01
102,-5.70E+01
105,-5.70E+01
108,-5.72E+01
111,-5.71E+01
114,-5.73E+01
117,-5.73E+01
120,-5.74E+01
123,-5.74E+01
126,-5.75E+01
129,-5.76E+01
132,-5.76E+01
135,-5.75E+01
138,-5.76E+01
141,-5.77E+01
144,-5.78E+01
147,-5.79E+01
150,-5.78E+01
153,-5.79E+01
156,-5.80E+01
159,-5.80E+01
162,-5.81E+01
165,-5.81E+01
168,-5.82E+01
171,-5.82E+01
174,-5.82E+01
177,-5.82E+01
180,-5.83E+01
183,-5.83E+01
186,-5.84E+01
189,-5.85E+01
192,-5.85E+01
195,-5.85E+01
198,-5.85E+01
201,-5.85E+01
204,-5.85E+01
207,-5.86E+01
210,-5.86E+01
213,-5.86E+01
216,-5.87E+01
219,-5.88E+01
222,-5.87E+01
225,-5.87E+01
228,-5.89E+01
231,-5.88E+01
234,-5.88E+01
237,-5.88E+01
240,-5.89E+01
243,-5.89E+01
246,-5.88E+01
249,-5.88E+01
252,-5.89E+01
255,-5.87E+01
258,-5.87E+01
261,-5.88E+01
264,-5.86E+01
267,-5.87E+01
270,-5.86E+01
273,-5.86E+01
276,-5.84E+01
279,-5.83E+01
282,-5.84E+01
285,-5.82E+01
288,-5.80E+01
291,-5.80E+01
294,-5.78E+01
297,-5.78E+01
300,-5.76E+01
303,-5.75E+01
306,-5.75E+01
309,-5.72E+01
312,-5.72E+01
315,-5.70E+01
318,-5.70E+01
321,-5.70E+01
324,-5.67E+01
327,-5.68E+01
330,-5.66E+01
333,-5.67E+01
336,-5.66E+01
339,-5.64E+01
342,-5.64E+01
345,-5.64E+01
348,-5.63E+01
351,-5.62E+01
354,-5.61E+01
357,-5.61E+01
360,-5.60E+01
